Abbr,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
TB,51,24,0.68,-,31-7,20-17,415,272,143,L2,5-5
BAL,44,27,0.62,5,22-13,22-14,350,312,38,W1,7-3
NYY,39,33,0.542,10.5,21-17,18-16,322,296,26,L4,3-7
TOR,39,35,0.527,11.5,19-13,20-22,330,326,4,L3,3-7
BOS,38,35,0.521,12,21-18,17-17,372,348,24,W5,7-3
MIN,36,37,0.493,-,21-18,15-19,313,285,28,L2,5-5
CLE,33,38,0.465,2,16-17,17-21,277,299,-22,W1,5-5
DET,31,40,0.437,4,16-18,15-22,268,342,-74,W2,5-5
CWS,31,43,0.419,5.5,17-18,14-25,301,361,-60,L2,3-7
KC,19,53,0.264,16.5,10-28,9-25,271,385,-114,L2,1-9
TEX,45,27,0.625,-,24-13,21-14,439,288,151,W3,5-5
LAA,41,33,0.554,5,20-14,21-19,365,340,25,W1,7-3
HOU,39,34,0.534,6.5,20-19,19-15,322,284,38,L5,3-7
SEA,35,35,0.5,9,21-17,14-18,308,297,11,W1,5-5
OAK,19,55,0.257,27,9-29,10-26,262,465,-203,L5,5-5
ATL,46,26,0.639,-,24-15,22-11,395,295,100,W6,8-2
MIA,42,31,0.575,4.5,22-13,20-18,300,313,-13,W5,7-3
PHI,38,34,0.528,8,19-11,19-23,320,333,-13,W6,8-2
NYM,34,38,0.472,12,17-15,17-23,327,338,-11,W1,4-6
WSH,27,44,0.38,18.5,12-25,15-19,296,352,-56,L4,2-8
CIN,38,35,0.521,-,18-18,20-17,349,367,-18,W9,9-1
MIL,37,35,0.514,0.5,21-17,16-18,290,314,-24,L1,3-7
PIT,34,37,0.479,3,18-17,16-20,300,332,-32,L7,2-8
CHC,34,38,0.472,3.5,20-17,14-21,326,309,17,W1,8-2
STL,30,43,0.411,8,13-21,17-22,337,350,-13,W3,4-6
AZ,44,29,0.603,-,23-18,21-11,378,345,33,W1,6-4
SF,40,32,0.556,3.5,19-17,21-15,361,310,51,W8,8-2
LAD,39,33,0.542,4.5,22-14,17-19,389,347,42,L3,4-6
SD,35,37,0.486,8.5,19-20,16-17,304,283,21,L1,6-4
COL,29,46,0.387,16,16-19,13-27,328,427,-99,L6,3-7
